Type,Margin,QP_ck,CORE_ck,KIKU_ck,DIKU_ck,C_itr,K_itr,D_itr,C_time,K_time,D_time,C_RMSE,K_RMSE,D_RMSE
0,0.1,20000,20000,20000,20000,5061,5862,5862,109.0402615,62.52548766,28.92165899,0.00056057,0.000190342,0.000190342
0,0.2,20000,20000,20000,20000,1529,1703,1703,33.99766183,20.79624104,8.605196238,0.000891316,0.000525346,0.000525346
0,0.3,20000,20000,20000,20000,755,897,897,16.64338207,9.76429677,4.350160122,0.000730653,0.001015569,0.001015569
1,0.1,20000,20000,20000,20000,5635,5641,5641,127.8992314,64.20898986,27.50414705,0.000430173,0.000342247,0.000342247
1,0.2,20000,20000,20000,20000,1518,1626,1626,33.26077127,17.96544194,8.422580957,0.000943648,0.00065477,0.00065477
1,0.3,20000,20000,20000,20000,777,783,783,17.17650342,9.16238904,3.993484259,0.003120918,0.001262596,0.001262596
2,0.1,20000,20000,20000,20000,5718,6209,6209,128.0686553,74.7427907,32.90575123,0.000364471,0.000364752,0.000364752
2,0.2,20000,20000,20000,20000,1509,1642,1642,33.13730955,18.05106783,8.213113308,0.002112083,0.001044704,0.001044704
2,0.3,20000,20000,20000,20000,723,752,752,15.94567728,8.219875574,3.812210083,0.001242525,0.001060729,0.001060729
3,0.1,20000,20000,20000,20000,5519,5671,5671,119.6635463,61.27954221,28.40346479,0.000814032,0.000422548,0.000422548
3,0.2,20000,20000,20000,20000,1467,1738,1738,31.62673879,18.80013847,8.695647001,0.000993048,0.000407089,0.000407089
3,0.3,20000,20000,20000,20000,636,769,769,14.01776195,8.579197168,3.873709917,0.001026199,0.000889476,0.000889476
4,0.1,20000,20000,20000,20000,4979,6306,6306,108.5705721,68.85535789,31.55455327,0.000393349,0.000357142,0.000357142
4,0.2,20000,20000,20000,20000,1377,1695,1695,29.9029634,18.27794075,8.597817421,0.000823665,0.001084943,0.001084943
4,0.3,20000,20000,20000,20000,705,790,790,15.34839606,8.644035339,4.026583195,0.002042898,0.001459568,0.001459568
,,,,,,,,,,,,,,
avg,0.1,,,,,5382.4,5937.8,5937.8,118.6484533,66.32243366,29.85791507,,,
,0.2,,,,,1480,1680.8,1680.8,32.38508897,18.77816601,8.506870985,,,
,0.3,,,,,719.2,798.2,798.2,15.82634416,8.873958778,4.011229515,,,
