Type,Margin,CORE_ck,KIKU_ck,DIKU_ck,C_itr,K_itr,D_itr,C_time,K_time,D_time
0,0.1,20000,20000,20000,5061,5862,5862,16.7704215,9.76336956,6.361199379
0,0.2,20000,20000,20000,1529,1703,1703,5.108320713,2.875145197,1.963138342
0,0.3,20000,20000,20000,755,897,897,2.499020815,1.506347418,1.114491463
1,0.1,20000,20000,20000,5635,5641,5641,18.82825589,9.393926144,6.231863976
1,0.2,20000,20000,20000,1518,1626,1626,5.017992258,2.715209961,1.907460928
1,0.3,20000,20000,20000,777,783,783,2.566144466,1.336207151,0.989330053
2,0.1,20000,20000,20000,5718,6209,6209,19.01490402,10.27933812,6.941868782
2,0.2,20000,20000,20000,1509,1642,1642,5.00420022,2.736947775,1.943892002
2,0.3,20000,20000,20000,723,752,752,2.404253244,1.282654524,0.948304653
3,0.1,20000,20000,20000,5519,5671,5671,18.52891159,9.422183514,6.313486576
3,0.2,20000,20000,20000,1467,1738,1738,4.904512644,2.932317257,2.052809954
3,0.3,20000,20000,20000,636,769,769,2.127345562,1.321249247,0.991647005
4,0.1,20000,20000,20000,4979,6306,6306,16.90176415,10.44036603,6.692895651
4,0.2,20000,20000,20000,1377,1695,1695,4.436085463,2.760229111,1.906300306
4,0.3,20000,20000,20000,705,790,790,2.250717402,1.307848692,0.965993166
,,,,,,,,,,
avg,,,,,5382.4,5937.8,5937.8,18.00885143,9.859836674,6.508262873
,,,,,1480,1680.8,1680.8,4.89422226,2.80396986,1.954720306
,,,,,719.2,798.2,798.2,2.369496298,1.350861406,1.001953268
