Type & Margin & QP_ck & CORE_ck & KIKU_ck & DIKU_ck & C_itr & K_itr & D_itr & C_time & K_time & D_time & C_RMSE & K_RMSE & D_RMSE \\ \hline
0 & 0.1 & 20000 & 20000 & 20000 & 20000 & 5061 & 5862 & 5862 & 109.0402615070343 & 62.525487661361694 & 28.921658992767334 & 0.0005605697327280138 & 0.00019034193849159253 & 0.00019034193849159253 \\ \hline
0 & 0.2 & 20000 & 20000 & 20000 & 20000 & 1529 & 1703 & 1703 & 33.99766182899475 & 20.79624104499817 & 8.605196237564087 & 0.0008913160830227228 & 0.0005253461144307755 & 0.0005253461144307755 \\ \hline
0 & 0.3 & 20000 & 20000 & 20000 & 20000 & 755 & 897 & 897 & 16.64338207244873 & 9.764296770095825 & 4.350160121917725 & 0.0007306528686222748 & 0.001015569038427787 & 0.001015569038427787 \\ \hline
1 & 0.1 & 20000 & 20000 & 20000 & 20000 & 5635 & 5641 & 5641 & 127.89923143386841 & 64.20898985862732 & 27.504147052764893 & 0.00043017319997442385 & 0.00034224655381816737 & 0.00034224655381816737 \\ \hline
1 & 0.2 & 20000 & 20000 & 20000 & 20000 & 1518 & 1626 & 1626 & 33.26077127456665 & 17.965441942214966 & 8.42258095741272 & 0.0009436484709874142 & 0.0006547703010491718 & 0.0006547703010491718 \\ \hline
1 & 0.3 & 20000 & 20000 & 20000 & 20000 & 777 & 783 & 783 & 17.1765034198761 & 9.162389039993286 & 3.9934842586517334 & 0.0031209178626752615 & 0.0012625957863411758 & 0.0012625957863411758 \\ \hline
2 & 0.1 & 20000 & 20000 & 20000 & 20000 & 5718 & 6209 & 6209 & 128.06865525245667 & 74.74279069900513 & 32.90575122833252 & 0.000364470552993044 & 0.0003647519145533165 & 0.0003647519145533165 \\ \hline
2 & 0.2 & 20000 & 20000 & 20000 & 20000 & 1509 & 1642 & 1642 & 33.137309551239014 & 18.05106782913208 & 8.21311330795288 & 0.002112082908282739 & 0.0010447041197696415 & 0.0010447041197696415 \\ \hline
2 & 0.3 & 20000 & 20000 & 20000 & 20000 & 723 & 752 & 752 & 15.945677280426025 & 8.219875574111938 & 3.8122100830078125 & 0.001242524877970018 & 0.0010607291534654884 & 0.0010607291534654884 \\ \hline
3 & 0.1 & 20000 & 20000 & 20000 & 20000 & 5519 & 5671 & 5671 & 119.66354632377625 & 61.279542207717896 & 28.403464794158936 & 0.0008140316727047185 & 0.00042254794145982113 & 0.00042254794145982113 \\ \hline
3 & 0.2 & 20000 & 20000 & 20000 & 20000 & 1467 & 1738 & 1738 & 31.626738786697388 & 18.800138473510742 & 8.69564700126648 & 0.000993047915469079 & 0.0004070891642397185 & 0.0004070891642397185 \\ \hline
3 & 0.3 & 20000 & 20000 & 20000 & 20000 & 636 & 769 & 769 & 14.017761945724487 & 8.57919716835022 & 3.8737099170684814 & 0.0010261986377462747 & 0.0008894761173919019 & 0.0008894761173919019 \\ \hline
4 & 0.1 & 20000 & 20000 & 20000 & 20000 & 4979 & 6306 & 6306 & 108.57057213783264 & 68.85535788536072 & 31.554553270339966 & 0.0003933491041270673 & 0.0003571424393392214 & 0.0003571424393392214 \\ \hline
4 & 0.2 & 20000 & 20000 & 20000 & 20000 & 1377 & 1695 & 1695 & 29.902963399887085 & 18.27794075012207 & 8.597817420959473 & 0.0008236647818069285 & 0.0010849430857358387 & 0.0010849430857358387 \\ \hline
4 & 0.3 & 20000 & 20000 & 20000 & 20000 & 705 & 790 & 790 & 15.348396062850952 & 8.644035339355469 & 4.026583194732666 & 0.0020428978453318454 & 0.001459568365133435 & 0.001459568365133435 \\ \hline
 \\ \hline
